epoch	loss		val_loss
0	1.3949e+01	8.9761e+00
1	8.4606e+00	8.3907e+00
2	8.2270e+00	8.2706e+00
3	8.1437e+00	8.2036e+00
4	8.0460e+00	8.1229e+00
5	8.5770e+00	8.8824e+00
6	8.5588e+00	8.4206e+00
7	8.2765e+00	8.3182e+00
8	8.1893e+00	8.2829e+00
9	8.1474e+00	8.2152e+00
10	8.1006e+00	8.1559e+00
11	8.0246e+00	8.0021e+00
12	7.7802e+00	7.6814e+00
13	7.4905e+00	7.4721e+00
14	7.2595e+00	7.1814e+00
15	6.9294e+00	6.6761e+00
16	6.3721e+00	5.9485e+00
17	5.6964e+00	5.3817e+00
18	5.1112e+00	4.8049e+00
19	4.7037e+00	4.5794e+00
20	4.4197e+00	4.3723e+00
21	4.2118e+00	4.1246e+00
22	4.0617e+00	3.9606e+00
23	3.8795e+00	3.9504e+00
24	3.7558e+00	3.7534e+00
25	3.6601e+00	3.6318e+00
26	3.5494e+00	3.6931e+00
27	3.4765e+00	3.4605e+00
28	3.3865e+00	3.5403e+00
29	3.3211e+00	3.3736e+00
30	3.2295e+00	3.3738e+00
31	3.1647e+00	3.2641e+00
32	3.1281e+00	3.1981e+00
33	3.0571e+00	3.1731e+00
34	2.9871e+00	3.0733e+00
35	2.9372e+00	3.1096e+00
36	2.8944e+00	2.9667e+00
37	2.8399e+00	2.9733e+00
38	2.7903e+00	2.9245e+00
39	2.7453e+00	3.0202e+00
40	2.6875e+00	2.9199e+00
41	2.6604e+00	2.8530e+00
42	2.6215e+00	2.7870e+00
43	2.5832e+00	2.7694e+00
44	2.5237e+00	2.6988e+00
45	2.5129e+00	2.6824e+00
46	2.4609e+00	2.6845e+00
47	2.4457e+00	2.5976e+00
48	2.4000e+00	2.6065e+00
49	2.3696e+00	2.5879e+00
50	2.3432e+00	2.5281e+00
51	2.3031e+00	2.5250e+00
52	2.2957e+00	2.4780e+00
53	2.2346e+00	2.4593e+00
54	2.2156e+00	2.4987e+00
55	2.1872e+00	2.4874e+00
56	2.1784e+00	2.4038e+00
57	2.1786e+00	2.4738e+00
58	2.1289e+00	2.3479e+00
59	2.0726e+00	2.3306e+00
60	2.0722e+00	2.2394e+00
61	2.1338e+00	2.3015e+00
62	2.0678e+00	2.3917e+00
63	2.0075e+00	2.4628e+00
64	1.9928e+00	2.3854e+00
65	1.9979e+00	2.3163e+00
66	1.9720e+00	2.2070e+00
67	1.9227e+00	2.1454e+00
68	1.9240e+00	2.2992e+00
69	1.9288e+00	2.3671e+00
70	1.8911e+00	2.0914e+00
71	1.8663e+00	2.0993e+00
72	1.8389e+00	2.1412e+00
73	1.8208e+00	2.1468e+00
74	1.8059e+00	1.9963e+00
75	1.8200e+00	1.9951e+00
76	1.7815e+00	2.0580e+00
77	1.7748e+00	2.0623e+00
78	1.7523e+00	2.0871e+00
79	1.7479e+00	1.9883e+00
80	1.7308e+00	2.1358e+00
81	1.7295e+00	2.0071e+00
82	1.7130e+00	1.9510e+00
83	1.6701e+00	1.8561e+00
84	1.8376e+00	1.9737e+00
85	1.6836e+00	1.8690e+00
86	1.6447e+00	1.8487e+00
87	1.6405e+00	1.8503e+00
88	1.6198e+00	2.0155e+00
89	1.6156e+00	1.8662e+00
90	1.5959e+00	1.8411e+00
91	1.5950e+00	1.9597e+00
92	1.5841e+00	1.8232e+00
93	1.5652e+00	1.8925e+00
94	1.5749e+00	1.8232e+00
95	1.5464e+00	1.7953e+00
96	1.5534e+00	1.8221e+00
97	1.5392e+00	1.7824e+00
98	1.5262e+00	1.7573e+00
99	1.5092e+00	1.7780e+00
